 iteration        1/    1000 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 83781.7 | learning rate: 6.000E-05 | global batch size:  1024 | lm loss: 1.082687E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.222 | tokens per gpu per second (tgs): 1564.447 | TFLOPs: 1.35 |
 iteration       16/    1000 | consumed samples:        16384 | consumed tokens:      4194304 | elapsed time per iteration (ms): 81144.6 | learning rate: 5.997E-05 | global batch size:  1024 | lm loss: 1.014551E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.619 | tokens per gpu per second (tgs): 1615.288 | TFLOPs: 1.39 |
 iteration       17/    1000 | consumed samples:        17408 | consumed tokens:      4456448 | elapsed time per iteration (ms): 81130.5 | learning rate: 5.996E-05 | global batch size:  1024 | lm loss: 1.011483E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.622 | tokens per gpu per second (tgs): 1615.570 | TFLOPs: 1.39 |
 iteration       18/    1000 | consumed samples:        18432 | consumed tokens:      4718592 | elapsed time per iteration (ms): 81343.6 | learning rate: 5.996E-05 | global batch size:  1024 | lm loss: 1.007609E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.589 | tokens per gpu per second (tgs): 1611.337 | TFLOPs: 1.39 |
 iteration       19/    1000 | consumed samples:        19456 | consumed tokens:      4980736 | elapsed time per iteration (ms): 81353.5 | learning rate: 5.995E-05 | global batch size:  1024 | lm loss: 1.004385E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.587 | tokens per gpu per second (tgs): 1611.142 | TFLOPs: 1.39 |
 iteration       20/    1000 | consumed samples:        20480 | consumed tokens:      5242880 | elapsed time per iteration (ms): 81559.5 | learning rate: 5.995E-05 | global batch size:  1024 | lm loss: 1.000915E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.555 | tokens per gpu per second (tgs): 1607.073 | TFLOPs: 1.38 |
 iteration       21/    1000 | consumed samples:        21504 | consumed tokens:      5505024 | elapsed time per iteration (ms): 81291.2 | learning rate: 5.994E-05 | global batch size:  1024 | lm loss: 9.970867E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.597 | tokens per gpu per second (tgs): 1612.375 | TFLOPs: 1.39 |
 iteration       22/    1000 | consumed samples:        22528 | consumed tokens:      5767168 | elapsed time per iteration (ms): 81370.3 | learning rate: 5.994E-05 | global batch size:  1024 | lm loss: 9.937644E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.584 | tokens per gpu per second (tgs): 1610.809 | TFLOPs: 1.39 |
 iteration       23/    1000 | consumed samples:        23552 | consumed tokens:      6029312 | elapsed time per iteration (ms): 81350.8 | learning rate: 5.993E-05 | global batch size:  1024 | lm loss: 9.902025E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.587 | tokens per gpu per second (tgs): 1611.196 | TFLOPs: 1.39 |
 iteration       24/    1000 | consumed samples:        24576 | consumed tokens:      6291456 | elapsed time per iteration (ms): 81483.3 | learning rate: 5.992E-05 | global batch size:  1024 | lm loss: 9.872688E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.567 | tokens per gpu per second (tgs): 1608.575 | TFLOPs: 1.38 |
 iteration       25/    1000 | consumed samples:        25600 | consumed tokens:      6553600 | elapsed time per iteration (ms): 81491.2 | learning rate: 5.992E-05 | global batch size:  1024 | lm loss: 9.828735E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.566 | tokens per gpu per second (tgs): 1608.420 | TFLOPs: 1.38 |
 iteration       26/    1000 | consumed samples:        26624 | consumed tokens:      6815744 | elapsed time per iteration (ms): 81616.6 | learning rate: 5.991E-05 | global batch size:  1024 | lm loss: 9.801114E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.546 | tokens per gpu per second (tgs): 1605.948 | TFLOPs: 1.38 |
 iteration       27/    1000 | consumed samples:        27648 | consumed tokens:      7077888 | elapsed time per iteration (ms): 81668.3 | learning rate: 5.990E-05 | global batch size:  1024 | lm loss: 9.760689E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.539 | tokens per gpu per second (tgs): 1604.931 | TFLOPs: 1.38 |
 iteration       28/    1000 | consumed samples:        28672 | consumed tokens:      7340032 | elapsed time per iteration (ms): 81385.4 | learning rate: 5.990E-05 | global batch size:  1024 | lm loss: 9.731438E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.582 | tokens per gpu per second (tgs): 1610.510 | TFLOPs: 1.39 |
 iteration       29/    1000 | consumed samples:        29696 | consumed tokens:      7602176 | elapsed time per iteration (ms): 81506.0 | learning rate: 5.989E-05 | global batch size:  1024 | lm loss: 9.701201E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.563 | tokens per gpu per second (tgs): 1608.127 | TFLOPs: 1.38 |
 iteration       30/    1000 | consumed samples:        30720 | consumed tokens:      7864320 | elapsed time per iteration (ms): 81514.9 | learning rate: 5.988E-05 | global batch size:  1024 | lm loss: 9.663481E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.562 | tokens per gpu per second (tgs): 1607.951 | TFLOPs: 1.38 |
 iteration       31/    1000 | consumed samples:        31744 | consumed tokens:      8126464 | elapsed time per iteration (ms): 81666.8 | learning rate: 5.987E-05 | global batch size:  1024 | lm loss: 9.631333E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.539 | tokens per gpu per second (tgs): 1604.962 | TFLOPs: 1.38 |
 iteration       32/    1000 | consumed samples:        32768 | consumed tokens:      8388608 | elapsed time per iteration (ms): 81596.2 | learning rate: 5.986E-05 | global batch size:  1024 | lm loss: 9.598771E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.550 | tokens per gpu per second (tgs): 1606.348 | TFLOPs: 1.38 |
 iteration       33/    1000 | consumed samples:        33792 | consumed tokens:      8650752 | elapsed time per iteration (ms): 80721.9 | learning rate: 5.986E-05 | global batch size:  1024 | lm loss: 9.561285E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.686 | tokens per gpu per second (tgs): 1623.747 | TFLOPs: 1.40 |
 iteration       34/    1000 | consumed samples:        34816 | consumed tokens:      8912896 | elapsed time per iteration (ms): 80600.7 | learning rate: 5.985E-05 | global batch size:  1024 | lm loss: 9.538998E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.705 | tokens per gpu per second (tgs): 1626.190 | TFLOPs: 1.40 |
 iteration       35/    1000 | consumed samples:        35840 | consumed tokens:      9175040 | elapsed time per iteration (ms): 80507.0 | learning rate: 5.984E-05 | global batch size:  1024 | lm loss: 9.503463E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.719 | tokens per gpu per second (tgs): 1628.081 | TFLOPs: 1.40 |
 iteration       36/    1000 | consumed samples:        36864 | consumed tokens:      9437184 | elapsed time per iteration (ms): 81208.7 | learning rate: 5.983E-05 | global batch size:  1024 | lm loss: 9.470277E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.609 | tokens per gpu per second (tgs): 1614.013 | TFLOPs: 1.39 |
 iteration       37/    1000 | consumed samples:        37888 | consumed tokens:      9699328 | elapsed time per iteration (ms): 82027.1 | learning rate: 5.982E-05 | global batch size:  1024 | lm loss: 9.436996E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.484 | tokens per gpu per second (tgs): 1597.911 | TFLOPs: 1.37 |
 iteration       38/    1000 | consumed samples:        38912 | consumed tokens:      9961472 | elapsed time per iteration (ms): 81994.6 | learning rate: 5.981E-05 | global batch size:  1024 | lm loss: 9.405866E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.489 | tokens per gpu per second (tgs): 1598.545 | TFLOPs: 1.38 |
 iteration       39/    1000 | consumed samples:        39936 | consumed tokens:     10223616 | elapsed time per iteration (ms): 82186.6 | learning rate: 5.980E-05 | global batch size:  1024 | lm loss: 9.378780E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.459 | tokens per gpu per second (tgs): 1594.809 | TFLOPs: 1.37 |
 iteration       40/    1000 | consumed samples:        40960 | consumed tokens:     10485760 | elapsed time per iteration (ms): 82419.5 | learning rate: 5.979E-05 | global batch size:  1024 | lm loss: 9.342967E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.424 | tokens per gpu per second (tgs): 1590.304 | TFLOPs: 1.37 |
 iteration       41/    1000 | consumed samples:        41984 | consumed tokens:     10747904 | elapsed time per iteration (ms): 82124.2 | learning rate: 5.978E-05 | global batch size:  1024 | lm loss: 9.319645E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.469 | tokens per gpu per second (tgs): 1596.021 | TFLOPs: 1.37 |
 iteration       42/    1000 | consumed samples:        43008 | consumed tokens:     11010048 | elapsed time per iteration (ms): 82287.9 | learning rate: 5.977E-05 | global batch size:  1024 | lm loss: 9.285957E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.444 | tokens per gpu per second (tgs): 1592.847 | TFLOPs: 1.37 |
 iteration       43/    1000 | consumed samples:        44032 | consumed tokens:     11272192 | elapsed time per iteration (ms): 82175.8 | learning rate: 5.975E-05 | global batch size:  1024 | lm loss: 9.265326E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.461 | tokens per gpu per second (tgs): 1595.020 | TFLOPs: 1.37 |
 iteration       44/    1000 | consumed samples:        45056 | consumed tokens:     11534336 | elapsed time per iteration (ms): 82166.0 | learning rate: 5.974E-05 | global batch size:  1024 | lm loss: 9.228887E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.463 | tokens per gpu per second (tgs): 1595.210 | TFLOPs: 1.37 |
 iteration       45/    1000 | consumed samples:        46080 | consumed tokens:     11796480 | elapsed time per iteration (ms): 82478.2 | learning rate: 5.973E-05 | global batch size:  1024 | lm loss: 9.211578E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.415 | tokens per gpu per second (tgs): 1589.171 | TFLOPs: 1.37 |
 iteration       46/    1000 | consumed samples:        47104 | consumed tokens:     12058624 | elapsed time per iteration (ms): 82567.8 | learning rate: 5.972E-05 | global batch size:  1024 | lm loss: 9.171878E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.402 | tokens per gpu per second (tgs): 1587.446 | TFLOPs: 1.37 |
 iteration       47/    1000 | consumed samples:        48128 | consumed tokens:     12320768 | elapsed time per iteration (ms): 82651.5 | learning rate: 5.971E-05 | global batch size:  1024 | lm loss: 9.146520E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.389 | tokens per gpu per second (tgs): 1585.839 | TFLOPs: 1.36 |
 iteration       48/    1000 | consumed samples:        49152 | consumed tokens:     12582912 | elapsed time per iteration (ms): 82718.8 | learning rate: 5.969E-05 | global batch size:  1024 | lm loss: 9.119678E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.379 | tokens per gpu per second (tgs): 1584.549 | TFLOPs: 1.36 |
 iteration       49/    1000 | consumed samples:        50176 | consumed tokens:     12845056 | elapsed time per iteration (ms): 82625.5 | learning rate: 5.968E-05 | global batch size:  1024 | lm loss: 9.087705E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.393 | tokens per gpu per second (tgs): 1586.339 | TFLOPs: 1.36 |
 iteration       50/    1000 | consumed samples:        51200 | consumed tokens:     13107200 | elapsed time per iteration (ms): 82516.3 | learning rate: 5.967E-05 | global batch size:  1024 | lm loss: 9.060647E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.410 | tokens per gpu per second (tgs): 1588.437 | TFLOPs: 1.37 |
 iteration       51/    1000 | consumed samples:        52224 | consumed tokens:     13369344 | elapsed time per iteration (ms): 82669.8 | learning rate: 5.965E-05 | global batch size:  1024 | lm loss: 9.025442E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.387 | tokens per gpu per second (tgs): 1585.488 | TFLOPs: 1.36 |
 iteration       52/    1000 | consumed samples:        53248 | consumed tokens:     13631488 | elapsed time per iteration (ms): 82907.7 | learning rate: 5.964E-05 | global batch size:  1024 | lm loss: 9.011220E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.351 | tokens per gpu per second (tgs): 1580.939 | TFLOPs: 1.36 |
 iteration       53/    1000 | consumed samples:        54272 | consumed tokens:     13893632 | elapsed time per iteration (ms): 82867.0 | learning rate: 5.963E-05 | global batch size:  1024 | lm loss: 8.977615E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.357 | tokens per gpu per second (tgs): 1581.715 | TFLOPs: 1.36 |
 iteration       54/    1000 | consumed samples:        55296 | consumed tokens:     14155776 | elapsed time per iteration (ms): 82625.5 | learning rate: 5.961E-05 | global batch size:  1024 | lm loss: 8.953065E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.393 | tokens per gpu per second (tgs): 1586.339 | TFLOPs: 1.36 |
 iteration       55/    1000 | consumed samples:        56320 | consumed tokens:     14417920 | elapsed time per iteration (ms): 82643.2 | learning rate: 5.960E-05 | global batch size:  1024 | lm loss: 8.947106E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.391 | tokens per gpu per second (tgs): 1585.999 | TFLOPs: 1.36 |
 iteration       56/    1000 | consumed samples:        57344 | consumed tokens:     14680064 | elapsed time per iteration (ms): 82755.6 | learning rate: 5.958E-05 | global batch size:  1024 | lm loss: 8.898389E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.374 | tokens per gpu per second (tgs): 1583.845 | TFLOPs: 1.36 |
 iteration       57/    1000 | consumed samples:        58368 | consumed tokens:     14942208 | elapsed time per iteration (ms): 82777.6 | learning rate: 5.957E-05 | global batch size:  1024 | lm loss: 8.887368E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.371 | tokens per gpu per second (tgs): 1583.424 | TFLOPs: 1.36 |
 iteration       58/    1000 | consumed samples:        59392 | consumed tokens:     15204352 | elapsed time per iteration (ms): 82801.4 | learning rate: 5.955E-05 | global batch size:  1024 | lm loss: 8.860048E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.367 | tokens per gpu per second (tgs): 1582.968 | TFLOPs: 1.36 |
 iteration       59/    1000 | consumed samples:        60416 | consumed tokens:     15466496 | elapsed time per iteration (ms): 82884.9 | learning rate: 5.954E-05 | global batch size:  1024 | lm loss: 8.831508E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.354 | tokens per gpu per second (tgs): 1581.374 | TFLOPs: 1.36 |
 iteration       60/    1000 | consumed samples:        61440 | consumed tokens:     15728640 | elapsed time per iteration (ms): 82896.5 | learning rate: 5.952E-05 | global batch size:  1024 | lm loss: 8.802020E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.353 | tokens per gpu per second (tgs): 1581.152 | TFLOPs: 1.36 |
 iteration       61/    1000 | consumed samples:        62464 | consumed tokens:     15990784 | elapsed time per iteration (ms): 82700.7 | learning rate: 5.951E-05 | global batch size:  1024 | lm loss: 8.773818E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.382 | tokens per gpu per second (tgs): 1584.896 | TFLOPs: 1.36 |
 iteration       62/    1000 | consumed samples:        63488 | consumed tokens:     16252928 | elapsed time per iteration (ms): 82904.8 | learning rate: 5.949E-05 | global batch size:  1024 | lm loss: 8.752278E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.352 | tokens per gpu per second (tgs): 1580.994 | TFLOPs: 1.36 |
 iteration       63/    1000 | consumed samples:        64512 | consumed tokens:     16515072 | elapsed time per iteration (ms): 82760.3 | learning rate: 5.947E-05 | global batch size:  1024 | lm loss: 8.741555E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.373 | tokens per gpu per second (tgs): 1583.754 | TFLOPs: 1.36 |
 iteration       64/    1000 | consumed samples:        65536 | consumed tokens:     16777216 | elapsed time per iteration (ms): 82789.3 | learning rate: 5.946E-05 | global batch size:  1024 | lm loss: 8.704709E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.369 | tokens per gpu per second (tgs): 1583.200 | TFLOPs: 1.36 |
 iteration       65/    1000 | consumed samples:        66560 | consumed tokens:     17039360 | elapsed time per iteration (ms): 82900.7 | learning rate: 5.944E-05 | global batch size:  1024 | lm loss: 8.670974E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.352 | tokens per gpu per second (tgs): 1581.072 | TFLOPs: 1.36 |
 iteration       66/    1000 | consumed samples:        67584 | consumed tokens:     17301504 | elapsed time per iteration (ms): 82928.5 | learning rate: 5.942E-05 | global batch size:  1024 | lm loss: 8.661690E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.348 | tokens per gpu per second (tgs): 1580.542 | TFLOPs: 1.36 |
 iteration       67/    1000 | consumed samples:        68608 | consumed tokens:     17563648 | elapsed time per iteration (ms): 82692.9 | learning rate: 5.940E-05 | global batch size:  1024 | lm loss: 8.642911E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.383 | tokens per gpu per second (tgs): 1585.045 | TFLOPs: 1.36 |
 iteration       68/    1000 | consumed samples:        69632 | consumed tokens:     17825792 | elapsed time per iteration (ms): 82693.6 | learning rate: 5.939E-05 | global batch size:  1024 | lm loss: 8.623112E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.383 | tokens per gpu per second (tgs): 1585.031 | TFLOPs: 1.36 |
 iteration       69/    1000 | consumed samples:        70656 | consumed tokens:     18087936 | elapsed time per iteration (ms): 82957.6 | learning rate: 5.937E-05 | global batch size:  1024 | lm loss: 8.620785E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.344 | tokens per gpu per second (tgs): 1579.988 | TFLOPs: 1.36 |
 iteration       70/    1000 | consumed samples:        71680 | consumed tokens:     18350080 | elapsed time per iteration (ms): 82985.5 | learning rate: 5.935E-05 | global batch size:  1024 | lm loss: 8.578580E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.340 | tokens per gpu per second (tgs): 1579.457 | TFLOPs: 1.36 |
 iteration       71/    1000 | consumed samples:        72704 | consumed tokens:     18612224 | elapsed time per iteration (ms): 82625.3 | learning rate: 5.933E-05 | global batch size:  1024 | lm loss: 8.547807E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.393 | tokens per gpu per second (tgs): 1586.343 | TFLOPs: 1.36 |
 iteration       72/    1000 | consumed samples:        73728 | consumed tokens:     18874368 | elapsed time per iteration (ms): 82682.8 | learning rate: 5.931E-05 | global batch size:  1024 | lm loss: 8.530081E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.385 | tokens per gpu per second (tgs): 1585.240 | TFLOPs: 1.36 |
 iteration       73/    1000 | consumed samples:        74752 | consumed tokens:     19136512 | elapsed time per iteration (ms): 82838.5 | learning rate: 5.929E-05 | global batch size:  1024 | lm loss: 8.501707E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 12.361 | tokens per gpu per second (tgs): 1582.260 | TFLOPs: 1.36 |
