 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 118305.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083638E+01 | loss scale: 1.0 | grad norm: 8.072 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.656 | tokens per gpu per second (tgs): 1107.911 | TFLOPs: 0.95 |
 iteration       23/     100 | consumed samples:        23552 | consumed tokens:      6029312 | elapsed time per iteration (ms): 117227.4 | learning rate: 5.325E-05 | global batch size:  1024 | lm loss: 1.001997E+01 | loss scale: 1.0 | grad norm: 1.918 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.735 | tokens per gpu per second (tgs): 1118.101 | TFLOPs: 0.96 |
 iteration       24/     100 | consumed samples:        24576 | consumed tokens:      6291456 | elapsed time per iteration (ms): 117086.0 | learning rate: 5.268E-05 | global batch size:  1024 | lm loss: 9.991309E+00 | loss scale: 1.0 | grad norm: 1.863 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.746 | tokens per gpu per second (tgs): 1119.451 | TFLOPs: 0.96 |
 iteration       25/     100 | consumed samples:        25600 | consumed tokens:      6553600 | elapsed time per iteration (ms): 117279.7 | learning rate: 5.209E-05 | global batch size:  1024 | lm loss: 9.957546E+00 | loss scale: 1.0 | grad norm: 1.843 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.731 | tokens per gpu per second (tgs): 1117.602 | TFLOPs: 0.96 |
 iteration       26/     100 | consumed samples:        26624 | consumed tokens:      6815744 | elapsed time per iteration (ms): 117268.6 | learning rate: 5.148E-05 | global batch size:  1024 | lm loss: 9.928889E+00 | loss scale: 1.0 | grad norm: 1.849 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.732 | tokens per gpu per second (tgs): 1117.708 | TFLOPs: 0.96 |
 iteration       27/     100 | consumed samples:        27648 | consumed tokens:      7077888 | elapsed time per iteration (ms): 117149.8 | learning rate: 5.086E-05 | global batch size:  1024 | lm loss: 9.894502E+00 | loss scale: 1.0 | grad norm: 1.876 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.741 | tokens per gpu per second (tgs): 1118.841 | TFLOPs: 0.96 |
 iteration       28/     100 | consumed samples:        28672 | consumed tokens:      7340032 | elapsed time per iteration (ms): 117228.5 | learning rate: 5.021E-05 | global batch size:  1024 | lm loss: 9.864719E+00 | loss scale: 1.0 | grad norm: 1.842 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.735 | tokens per gpu per second (tgs): 1118.090 | TFLOPs: 0.96 |
 iteration       29/     100 | consumed samples:        29696 | consumed tokens:      7602176 | elapsed time per iteration (ms): 118100.3 | learning rate: 4.955E-05 | global batch size:  1024 | lm loss: 9.845063E+00 | loss scale: 1.0 | grad norm: 1.852 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.671 | tokens per gpu per second (tgs): 1109.836 | TFLOPs: 0.96 |
 iteration       30/     100 | consumed samples:        30720 | consumed tokens:      7864320 | elapsed time per iteration (ms): 117390.5 | learning rate: 4.887E-05 | global batch size:  1024 | lm loss: 9.810371E+00 | loss scale: 1.0 | grad norm: 1.878 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.723 | tokens per gpu per second (tgs): 1116.547 | TFLOPs: 0.96 |
 iteration       31/     100 | consumed samples:        31744 | consumed tokens:      8126464 | elapsed time per iteration (ms): 117037.4 | learning rate: 4.818E-05 | global batch size:  1024 | lm loss: 9.786904E+00 | loss scale: 1.0 | grad norm: 1.809 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.749 | tokens per gpu per second (tgs): 1119.916 | TFLOPs: 0.96 |
 iteration       32/     100 | consumed samples:        32768 | consumed tokens:      8388608 | elapsed time per iteration (ms): 116742.3 | learning rate: 4.747E-05 | global batch size:  1024 | lm loss: 9.747807E+00 | loss scale: 1.0 | grad norm: 1.848 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.771 | tokens per gpu per second (tgs): 1122.746 | TFLOPs: 0.97 |
 iteration       33/     100 | consumed samples:        33792 | consumed tokens:      8650752 | elapsed time per iteration (ms): 116835.2 | learning rate: 4.674E-05 | global batch size:  1024 | lm loss: 9.725558E+00 | loss scale: 1.0 | grad norm: 1.850 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.764 | tokens per gpu per second (tgs): 1121.854 | TFLOPs: 0.97 |
 iteration       34/     100 | consumed samples:        34816 | consumed tokens:      8912896 | elapsed time per iteration (ms): 117291.0 | learning rate: 4.601E-05 | global batch size:  1024 | lm loss: 9.705530E+00 | loss scale: 1.0 | grad norm: 1.828 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.730 | tokens per gpu per second (tgs): 1117.494 | TFLOPs: 0.96 |
 iteration       35/     100 | consumed samples:        35840 | consumed tokens:      9175040 | elapsed time per iteration (ms): 117501.0 | learning rate: 4.526E-05 | global batch size:  1024 | lm loss: 9.673069E+00 | loss scale: 1.0 | grad norm: 1.820 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.715 | tokens per gpu per second (tgs): 1115.496 | TFLOPs: 0.96 |
 iteration       36/     100 | consumed samples:        36864 | consumed tokens:      9437184 | elapsed time per iteration (ms): 117644.8 | learning rate: 4.450E-05 | global batch size:  1024 | lm loss: 9.651527E+00 | loss scale: 1.0 | grad norm: 1.827 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.704 | tokens per gpu per second (tgs): 1114.133 | TFLOPs: 0.96 |
 iteration       37/     100 | consumed samples:        37888 | consumed tokens:      9699328 | elapsed time per iteration (ms): 117369.7 | learning rate: 4.372E-05 | global batch size:  1024 | lm loss: 9.629090E+00 | loss scale: 1.0 | grad norm: 1.822 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.725 | tokens per gpu per second (tgs): 1116.744 | TFLOPs: 0.96 |
 iteration       38/     100 | consumed samples:        38912 | consumed tokens:      9961472 | elapsed time per iteration (ms): 117190.2 | learning rate: 4.294E-05 | global batch size:  1024 | lm loss: 9.598248E+00 | loss scale: 1.0 | grad norm: 1.846 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.738 | tokens per gpu per second (tgs): 1118.455 | TFLOPs: 0.96 |
 iteration       39/     100 | consumed samples:        39936 | consumed tokens:     10223616 | elapsed time per iteration (ms): 117608.5 | learning rate: 4.215E-05 | global batch size:  1024 | lm loss: 9.579665E+00 | loss scale: 1.0 | grad norm: 1.838 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.707 | tokens per gpu per second (tgs): 1114.477 | TFLOPs: 0.96 |
 iteration       40/     100 | consumed samples:        40960 | consumed tokens:     10485760 | elapsed time per iteration (ms): 117557.9 | learning rate: 4.134E-05 | global batch size:  1024 | lm loss: 9.554327E+00 | loss scale: 1.0 | grad norm: 1.835 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.711 | tokens per gpu per second (tgs): 1114.957 | TFLOPs: 0.96 |
 iteration       41/     100 | consumed samples:        41984 | consumed tokens:     10747904 | elapsed time per iteration (ms): 117652.2 | learning rate: 4.053E-05 | global batch size:  1024 | lm loss: 9.533193E+00 | loss scale: 1.0 | grad norm: 1.824 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.704 | tokens per gpu per second (tgs): 1114.064 | TFLOPs: 0.96 |
 iteration       42/     100 | consumed samples:        43008 | consumed tokens:     11010048 | elapsed time per iteration (ms): 116881.5 | learning rate: 3.971E-05 | global batch size:  1024 | lm loss: 9.507540E+00 | loss scale: 1.0 | grad norm: 1.859 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.761 | tokens per gpu per second (tgs): 1121.410 | TFLOPs: 0.97 |
 iteration       43/     100 | consumed samples:        44032 | consumed tokens:     11272192 | elapsed time per iteration (ms): 116738.5 | learning rate: 3.889E-05 | global batch size:  1024 | lm loss: 9.484558E+00 | loss scale: 1.0 | grad norm: 1.820 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.772 | tokens per gpu per second (tgs): 1122.783 | TFLOPs: 0.97 |
 iteration       44/     100 | consumed samples:        45056 | consumed tokens:     11534336 | elapsed time per iteration (ms): 117301.7 | learning rate: 3.806E-05 | global batch size:  1024 | lm loss: 9.471931E+00 | loss scale: 1.0 | grad norm: 1.854 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.730 | tokens per gpu per second (tgs): 1117.392 | TFLOPs: 0.96 |
 iteration       45/     100 | consumed samples:        46080 | consumed tokens:     11796480 | elapsed time per iteration (ms): 117001.9 | learning rate: 3.722E-05 | global batch size:  1024 | lm loss: 9.444528E+00 | loss scale: 1.0 | grad norm: 1.815 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.752 | tokens per gpu per second (tgs): 1120.255 | TFLOPs: 0.96 |
 iteration       46/     100 | consumed samples:        47104 | consumed tokens:     12058624 | elapsed time per iteration (ms): 116850.7 | learning rate: 3.638E-05 | global batch size:  1024 | lm loss: 9.425403E+00 | loss scale: 1.0 | grad norm: 1.815 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.763 | tokens per gpu per second (tgs): 1121.705 | TFLOPs: 0.97 |
 iteration       47/     100 | consumed samples:        48128 | consumed tokens:     12320768 | elapsed time per iteration (ms): 117037.8 | learning rate: 3.554E-05 | global batch size:  1024 | lm loss: 9.410293E+00 | loss scale: 1.0 | grad norm: 1.834 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.749 | tokens per gpu per second (tgs): 1119.912 | TFLOPs: 0.96 |
 iteration       48/     100 | consumed samples:        49152 | consumed tokens:     12582912 | elapsed time per iteration (ms): 116844.5 | learning rate: 3.470E-05 | global batch size:  1024 | lm loss: 9.387725E+00 | loss scale: 1.0 | grad norm: 1.815 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.764 | tokens per gpu per second (tgs): 1121.764 | TFLOPs: 0.97 |
 iteration       49/     100 | consumed samples:        50176 | consumed tokens:     12845056 | elapsed time per iteration (ms): 117110.6 | learning rate: 3.385E-05 | global batch size:  1024 | lm loss: 9.376364E+00 | loss scale: 1.0 | grad norm: 1.823 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.744 | tokens per gpu per second (tgs): 1119.215 | TFLOPs: 0.96 |
 iteration       50/     100 | consumed samples:        51200 | consumed tokens:     13107200 | elapsed time per iteration (ms): 117569.9 | learning rate: 3.300E-05 | global batch size:  1024 | lm loss: 9.356470E+00 | loss scale: 1.0 | grad norm: 1.839 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.710 | tokens per gpu per second (tgs): 1114.843 | TFLOPs: 0.96 |
 iteration       51/     100 | consumed samples:        52224 | consumed tokens:     13369344 | elapsed time per iteration (ms): 117626.5 | learning rate: 3.215E-05 | global batch size:  1024 | lm loss: 9.329597E+00 | loss scale: 1.0 | grad norm: 1.836 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.706 | tokens per gpu per second (tgs): 1114.306 | TFLOPs: 0.96 |
 iteration       52/     100 | consumed samples:        53248 | consumed tokens:     13631488 | elapsed time per iteration (ms): 117769.1 | learning rate: 3.130E-05 | global batch size:  1024 | lm loss: 9.320396E+00 | loss scale: 1.0 | grad norm: 1.822 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.695 | tokens per gpu per second (tgs): 1112.957 | TFLOPs: 0.96 |
 iteration       53/     100 | consumed samples:        54272 | consumed tokens:     13893632 | elapsed time per iteration (ms): 117380.6 | learning rate: 3.046E-05 | global batch size:  1024 | lm loss: 9.304734E+00 | loss scale: 1.0 | grad norm: 1.837 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.724 | tokens per gpu per second (tgs): 1116.641 | TFLOPs: 0.96 |
 iteration       54/     100 | consumed samples:        55296 | consumed tokens:     14155776 | elapsed time per iteration (ms): 117378.5 | learning rate: 2.962E-05 | global batch size:  1024 | lm loss: 9.288749E+00 | loss scale: 1.0 | grad norm: 1.813 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.724 | tokens per gpu per second (tgs): 1116.661 | TFLOPs: 0.96 |
 iteration       55/     100 | consumed samples:        56320 | consumed tokens:     14417920 | elapsed time per iteration (ms): 117119.6 | learning rate: 2.878E-05 | global batch size:  1024 | lm loss: 9.274921E+00 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.743 | tokens per gpu per second (tgs): 1119.130 | TFLOPs: 0.96 |
 iteration       56/     100 | consumed samples:        57344 | consumed tokens:     14680064 | elapsed time per iteration (ms): 117344.5 | learning rate: 2.794E-05 | global batch size:  1024 | lm loss: 9.253785E+00 | loss scale: 1.0 | grad norm: 1.820 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.726 | tokens per gpu per second (tgs): 1116.984 | TFLOPs: 0.96 |
 iteration       57/     100 | consumed samples:        58368 | consumed tokens:     14942208 | elapsed time per iteration (ms): 117245.1 | learning rate: 2.711E-05 | global batch size:  1024 | lm loss: 9.245440E+00 | loss scale: 1.0 | grad norm: 1.824 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.734 | tokens per gpu per second (tgs): 1117.932 | TFLOPs: 0.96 |
 iteration       58/     100 | consumed samples:        59392 | consumed tokens:     15204352 | elapsed time per iteration (ms): 117275.8 | learning rate: 2.629E-05 | global batch size:  1024 | lm loss: 9.227157E+00 | loss scale: 1.0 | grad norm: 1.811 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.732 | tokens per gpu per second (tgs): 1117.639 | TFLOPs: 0.96 |
 iteration       59/     100 | consumed samples:        60416 | consumed tokens:     15466496 | elapsed time per iteration (ms): 117210.2 | learning rate: 2.547E-05 | global batch size:  1024 | lm loss: 9.207352E+00 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.736 | tokens per gpu per second (tgs): 1118.264 | TFLOPs: 0.96 |
 iteration       60/     100 | consumed samples:        61440 | consumed tokens:     15728640 | elapsed time per iteration (ms): 117731.2 | learning rate: 2.466E-05 | global batch size:  1024 | lm loss: 9.199787E+00 | loss scale: 1.0 | grad norm: 1.828 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.698 | tokens per gpu per second (tgs): 1113.316 | TFLOPs: 0.96 |
 iteration       61/     100 | consumed samples:        62464 | consumed tokens:     15990784 | elapsed time per iteration (ms): 117642.3 | learning rate: 2.385E-05 | global batch size:  1024 | lm loss: 9.194623E+00 | loss scale: 1.0 | grad norm: 1.826 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.704 | tokens per gpu per second (tgs): 1114.157 | TFLOPs: 0.96 |
 iteration       62/     100 | consumed samples:        63488 | consumed tokens:     16252928 | elapsed time per iteration (ms): 117457.0 | learning rate: 2.306E-05 | global batch size:  1024 | lm loss: 9.180791E+00 | loss scale: 1.0 | grad norm: 1.817 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.718 | tokens per gpu per second (tgs): 1115.914 | TFLOPs: 0.96 |
 iteration       63/     100 | consumed samples:        64512 | consumed tokens:     16515072 | elapsed time per iteration (ms): 117483.5 | learning rate: 2.228E-05 | global batch size:  1024 | lm loss: 9.173571E+00 | loss scale: 1.0 | grad norm: 1.804 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.716 | tokens per gpu per second (tgs): 1115.663 | TFLOPs: 0.96 |
 iteration       64/     100 | consumed samples:        65536 | consumed tokens:     16777216 | elapsed time per iteration (ms): 117577.7 | learning rate: 2.150E-05 | global batch size:  1024 | lm loss: 9.167718E+00 | loss scale: 1.0 | grad norm: 1.831 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.709 | tokens per gpu per second (tgs): 1114.769 | TFLOPs: 0.96 |
 iteration       65/     100 | consumed samples:        66560 | consumed tokens:     17039360 | elapsed time per iteration (ms): 117688.8 | learning rate: 2.074E-05 | global batch size:  1024 | lm loss: 9.149499E+00 | loss scale: 1.0 | grad norm: 1.822 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.701 | tokens per gpu per second (tgs): 1113.717 | TFLOPs: 0.96 |
 iteration       66/     100 | consumed samples:        67584 | consumed tokens:     17301504 | elapsed time per iteration (ms): 117699.0 | learning rate: 1.999E-05 | global batch size:  1024 | lm loss: 9.131562E+00 | loss scale: 1.0 | grad norm: 1.826 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.700 | tokens per gpu per second (tgs): 1113.621 | TFLOPs: 0.96 |
